,name,rating,num_reviewers,type,lat,long
265,Kopi tersanjung,5.0,1,Coffee shop,-5.1256903,119.4318262
266,Warkop Ilham,4.8,17,Coffee shop,-5.123001,119.4344767
267,Kedai Mamaros,5.0,1,Coffee shop,-5.1160452,119.4252964
268,Istana juice & Coffee,5.0,2,Cafe,-5.1037454,119.4460711
269,Warkop Kopi Ta',5.0,1,Coffee shop,-5.1130355,119.4356835
270,WARKOP JS,4.9,14,Coffee shop,-5.1225216,119.4237571
271,Kebab Caca,5.0,2,Coffee shop,-5.1068398,119.4388891
272,Warkop KOPKITT,4.6,51,Coffee shop,-5.1164547,119.4233169
273,Kopi KETERGANTUNGAN,5.0,3,Coffee shop,-5.1271744,119.4379505
274,RR COFFEE,4.6,15,Coffee shop,-5.1232237,119.4344577
275,Kopi Karaeng,5.0,1,Coffee shop,-5.1265816,119.4292298
277,Kedai Daffa,5.0,2,Coffee shop,-5.1243342,119.4427865
278,KOPIOPA,4.0,2,Coffee shop,-5.1275011,119.4311841
279,Service Mesin Kopi Makassar,4.6,28,Cafe,-5.1237628,119.4395632
280,Kopi Sija,0.0,0,Coffee shop,-5.1244916,119.4226913
281,Warkop Cmp,4.7,29,Coffee shop,-5.1217597,119.4202564
282,Warkop INDOTANG,5.0,3,Coffee shop,-5.1275341,119.4343944
283,KEDAI KOPI RAPKAL,4.6,5,Coffee shop,-5.1253744,119.441805
284,Waroeng Kopi DEPAN,5.0,1,Coffee shop,-5.123674,119.4284281
285,Kedai Soal Rasa,5.0,1,Coffee shop,-5.124836,119.4336096
286,WARKOP MASSI,4.3,208,Coffee shop,-5.1160739,119.4350103
287,Kopi in,0.0,0,Coffee shop,-5.1249401,119.4382377
288,OWLY COFFEE,5.0,3,Cafe,-5.1265813,119.4387024
289,TABIKinKOPI,5.0,4,Coffee shop,-5.1852344,119.4897744
290,KOPI WANS,5.0,8,Coffee shop,-5.1151074,119.4236938
291,Adul Teuku Umar,4.0,1,Coffee shop,-5.1146519,119.4355378
292,LiQo.id,5.0,4,Coffee shop,-5.1271892,119.4375322
293,Warkop GATSU 231,5.0,2,Coffee shop,-5.1181983,119.435267
294,Warkop P.A.P,4.5,77,Cafe,-5.127051,119.4310937
295,TOKO KOPI DONG CHONG XIA CHAO MAKASSAR,0.0,0,Cafe,-5.1252929,119.4291774
296,Kedai77,0.0,0,Coffee shop,-5.1176284,119.4311781
297,Warkop Meeting,5.0,3,Coffee shop,-5.1232679,119.4366807
298,Warkop AAN,5.0,4,Coffee shop,-5.115771,119.4234766
300,RUANG KOPI 2.0,5.0,6,Coffee shop,-5.1165677,119.4233141
301,Warkop Asnur,4.3,120,Coffee shop,-5.1215136,119.4376877
302,Cemistri Coffee House,4.9,44,Coffee shop,-5.1431029,119.4526385
303,WARKOP 5080,5.0,1,Coffee shop,-5.1124789,119.4336079
304,Rumah kopi Mallangngere RR,5.0,2,Restaurant,-5.1226225,119.4649263
305,GELLOKOPI,5.0,3,Coffee shop,-5.167361,119.443591
306,WARKOP BIASAYYA,4.8,9,Coffee shop,-5.1242257,119.436067
307,Playlist Coffee and Toast Pannampu,5.0,6,Art cafe,-5.1158583,119.4236468
308,Papashake & Coffee,3.5,4,Cafe,-5.1249996,119.4347138
309,WARKOP PABO'SS,5.0,6,Coffee shop,-5.1281356,119.4345717
310,K 8 warkop,5.0,1,Coffee shop,-5.1174736,119.4244332
311,Warkop lan,4.8,9,Coffee shop,-5.1242235,119.4360618
312,Warkop Putra,4.7,22,Coffee shop,-5.1204926,119.4375474
313,"Es Teh Ori, AR Hakim",5.0,1,Coffee shop,-5.1244528,119.434046
314,Coffee kompleks,5.0,6,Cafeteria,-5.1234695,119.428484
315,Warkop Juanda,4.5,174,Cafe,-5.1193826,119.4370958
316,KOPI 237,5.0,2,Cafe,-5.116645,119.4223077
317,KOPI 17,5.0,7,Coffee shop,-5.117473,119.4328738
318,Kedai Warung Kopi Cahaya,4.6,5,Coffee shop,-5.1137947,119.4308194
319,KOPI GALANGAN,0.0,0,Coffee shop,-5.1174541,119.4311825
320,Warung Kopi Buloa,2.0,1,Coffee shop,-5.1142004,119.4378581
321,Rumah kopi bintang,0.0,0,Coffee shop,-5.1326293,119.4302674
322,Roemah Kopi JBL,0.0,0,Cafe,-5.1231576,119.4315148
323,KEDAI TERAS,5.0,5,Cafe,-5.1043208,119.4433898
324,Warkop Daeng Ali Pongtiku,5.0,2,Coffee shop,-5.1252203,119.4319662
325,Warkop 99,4.6,16,Cafe,-5.121307,119.434874
326,Kedai Kopi Om Boy (KOPI OBI),4.5,4,Cafe,-5.1167002,119.423076
327,ES COKLAT SULTAN,0.0,0,Coffee shop,-5.1068589,119.4389344
328,WARKOP OM MAIL,5.0,5,Coffee shop,-5.1216885,119.4370946
329,Kopi Lain Hati BTP Tamalanrea,4.6,108,Coffee shop,-5.1321071,119.4987757
330,KOPITHA,4.9,85,Coffee shop,-5.1332302,119.5035414
331,Kopi Konnichiwa - BTP,4.6,161,Coffee shop,-5.1375558,119.50879
332,Kopitan Plus,4.6,344,Coffee shop,-5.1278137,119.5014079
333,DAWAI COFFEE,4.7,739,Coffee shop,-5.1407531,119.4838797
334,Kopi HUB,4.3,1759,Coffee shop,-5.1283227,119.5003309
335,Kopi Wadjar,4.7,56,Coffee shop,-5.1319308,119.4795658
336,Banua Coffee,4.8,140,Coffee shop,-5.1207812,119.5024092
337,Rumah Kopi Setia Perintis Makassar,4.5,226,Cafe,-5.1302703,119.4987778
338,Kopi Dari Hati BTP,4.7,121,Cafe,-5.1320766,119.4997672
339,WAYSS COFFEE,4.6,177,Coffee shop,-5.1374144,119.4847196
340,Kaori Coffee - BTP,4.9,265,Coffee shop,-5.1322163,119.5006162
341,CIEQ'S COFFEE,4.8,33,Coffee shop,-5.1393426,119.5085242
342,Autentik Coffee BTP,4.7,66,Coffee shop,-5.1365315,119.5075554
343,Sekala Kafe - Coffee & Space,4.8,57,Cafe,-5.133613,119.4802026
344,Haeha Coffee,4.7,66,Cafe,-5.1393323,119.5117327
345,The Gade Coffee & Gold Makassar,4.5,323,Coffee shop,-5.1320886,119.5001018
346,Tastea BTP,4.8,123,Coffee shop,-5.1361549,119.5076828
347,Culminers Coffee & Eatery,4.7,75,Coffee shop,-5.1371902,119.5125975
348,TOMORO COFFEE - BTP,4.6,285,Coffee shop,-5.1372172,119.512499
349,Kuva kopi,4.7,48,Coffee shop,-5.1325974,119.4998297
350,Brewbrothers Coffee House,4.9,31,Coffee shop,-5.1337425,119.5049019
351,Pekat Space,4.8,48,Coffee shop,-5.1350904,119.4797527
352,OIYA Coffee,4.5,29,Coffee shop,-5.1314644,119.5007038
353,Mr GEng Bread & Coffee,4.9,89,Coffee shop,-5.1370421,119.508567
354,TOKIO COFFEE LAB.,4.5,86,Coffee shop,-5.1417667,119.4960988
355,Marasa Coffee Stand Makassar,4.8,36,Coffee shop,-5.132975,119.479468
356,D'Juries coffee & Roastery,4.1,345,Cafe,-5.1316622,119.5004123
357,KEDAI BUJANG,4.6,662,Cafe,-5.1398114,119.4878113
358,UTTON - Perintis,4.5,75,Coffee shop,-5.141319,119.4867587
359,Kopi Boegiz Perdos,4.5,185,Coffee shop,-5.1414662,119.4958185
360,Zefou Coffee,4.4,333,Cafe,-5.1375584,119.5150059
361,TONGKONAN COFFEE,4.8,126,Coffee shop,-5.1399228,119.5147822
