,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
526,Kopi Soe Daeng Tata,4.8,81,Cafe,-5.1834949,119.4220925,"Jalan Permata Mutiara Raya, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Bonto Duri,Tamalate,Makassar,4.609177221204681
1068,KOPITIAM MAKASSAR - AMANAGAPPA,4.7,158,Indonesian,-5.1371378,119.4109717,"Baru, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90115, Indonesia",Baru,Ujung Pandang,Makassar,4.6049924346780475
129,KopiA Makassar,5.0,38,Coffee shop,-5.180433,119.4600001,"Jalan Minasa Upa Blok N3, BTN Minasa Upa, Minasa Upa, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Minasa Upa,Rappocini,Makassar,4.604986149667181
137,Rumah Kopi Shakila,4.7,157,Coffee shop,-5.1658192,119.4394428,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Tidung,Rappocini,Makassar,4.60463179943518
196,Kopi Hari Ini & Food,4.8,76,Restaurant,-5.166221,119.42826,"SMK Negeri 6 Makassar, Jalan Andi Djemma, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Banta-Bantaeng,Rappocini,Makassar,4.603947624918821
448,WARKOP TIME Coffee Shop and Food,4.9,50,Coffee shop,-5.1872171,119.4285851,"Universitas Negeri Makassar Parang Tambung, BTN Tabaria Blok G7-G8, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Bonto Duri,Tamalate,Makassar,4.603325286535638
968,SOFIKOPI,4.8,75,Coffee wholesaler,-5.1662827,119.422357,"Bonto Lebang, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Lebang,Mamajang,Makassar,4.602867119345008
964,kopi makassar assalam cafe,5.0,37,Coffee shop,-5.1670587,119.4911597,"Jalan Bitowa Raya, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Manggala,Manggala,Makassar,4.6022323851914075
1069,Jae Coffee Social Space,4.8,74,Coffee shop,-5.1629954,119.4220192,"Jalan Andi Djemma, Mamajang Dalam, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Mamajang Dalam,Mamajang,Makassar,4.6017746377636
102,MOOVS from Tastea - Rappocini,4.9,49,Coffee shop,-5.1597965,119.4356554,"KANTOR KEMENTRIAN AGAMA, Jalan Rappocini Raya, Benteng, Buakana, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Buakana,Rappocini,Makassar,4.60141673598323
87,Duft Coffee Indonesia,4.8,73,Cafe,-5.1479834,119.4385163,"Jalan A.P. Pettarani, Tamamaung, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Tamamaung,Panakkukang,Makassar,4.600669979957176
559,Ceylon coffee,4.8,71,Coffee shop,-5.1394958,119.4098557,"Mix, C3, Jalan Ranggong, Baru, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Baru,Ujung Pandang,Makassar,4.598423312232895
357,Koppi Makassar,4.7,140,Coffee shop,-5.123484,119.5075127,"Jalan Perintis Kemerdekaan, Bontoramba, Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Berua,Biringkanaya,Makassar,4.598053215335234
1025,Kapakata Coffee Roaster,4.9,47,Cafe,-5.1461227,119.4178534,"Jalan G. Batu Putih Lorong 1, Maricaya Baru, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",Maricaya Baru,Makassar,Makassar,4.5975250068327576
953,Toko Kopi Isikepala,4.8,70,Coffee shop,-5.1444495,119.4525828,"Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar,4.597280878929809
1024,Kopi Kenangan - Ruko Monginsidi Makassar,4.7,133,Coffee shop,-5.1483485,119.4192213,"Haji La Tunrung, Jalan Monginsidi, Maricaya Baru, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya Baru,Makassar,Makassar,4.595072875888181
584,Republico,4.7,132,Coffee shop,-5.1450455,119.4107726,"Jalan Lamadukelleng, Losari, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Losari,Ujung Pandang,Makassar,4.594632828467114
138,ADAPADA KEDAI HERTASNING,4.7,130,Coffee shop,-5.1663141,119.4471736,"Jalan Letjen Hertasning, Bonto Makkio, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Bonto Makkio,Rappocini,Makassar,4.593741567036133
63,kopiteori,4.6,1597,Coffee shop,-5.1572607,119.4197325,"Jalan Beruang, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.591499710823317
295,Cemistri Coffee House,4.9,44,Coffee shop,-5.1431029,119.4526385,"Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar,4.591493402264392
1195,WARKOP GOODGAME,4.8,65,Coffee shop,-5.1686945,119.4917615,"Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Manggala,Manggala,Makassar,4.591368805788573
331,Kopi Dari Hati BTP,4.7,121,Cafe,-5.1320766,119.4997672,"Circle K, Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.589536920918645
1148,Wam’s Coffee,4.9,43,Coffee shop,-5.1657571,119.4664693,"Jalan Inspeksi Kanal Puri Borong Raya, Borong, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Borong,Manggala,Makassar,4.589429054049706
