X,name...2,rating,num_reviewers,type...5,lat,long,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,class,type...16,place_rank,importance,addresstype,name...20,amenity,road,hamlet,suburb,city_district,city,state,ISO3166-2-lvl4,region,ISO3166-2-lvl3,postcode,country,country_code,boundingbox,residential,shop,tourism,commercial,house_number,building,district,office,village,retail,neighbourhood,leisure,historic,municipality,town,county,man_made,place,industrial,healthcare,city_block
578,HH Coffee,4.6,192,Coffee shop,-5.146342,119.4141417,"HH Coffee, Jalan Lasinrang, Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",25107456,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,192937584,-5.1463673,119.4140677,amenity,cafe,30,5.50019073776916e-05,amenity,HH Coffee,HH Coffee,Jalan Lasinrang,,Mangkura,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1464308|-5.1463038|119.4139604|119.4141750,,,,,,,,,,,,,,,,,,,,,
579,TOKIO COFFEE LAB.,4.6,186,Coffee shop,-5.1477248,119.4097992,"Tokio Coffee Lab., Jalan Johar, Losari, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",410427022,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,12960462767,-5.1477039,119.4098294,amenity,cafe,30,5.50019073776916e-05,amenity,Tokio Coffee Lab.,Tokio Coffee Lab.,Jalan Johar,,Losari,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1477539|-5.1476539|119.4097794|119.4098794,,,,,,,,,,,,,,,,,,,,,
580,"Fore Coffee - Sultan Hasanuddin, Makassar",4.4,361,Coffee shop,-5.140985,119.410828,"Fore Coffee, 53, Jalan Sultan Hasanuddin, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",24768789,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,193462253,-5.1409349,119.4109069,amenity,cafe,30,5.50019073776916e-05,amenity,Fore Coffee,Fore Coffee,Jalan Sultan Hasanuddin,,Sawerigading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90114,Indonesia,id,-5.1410438|-5.1408116|119.4107513|119.4110537,,,,,53,,,,,,,,,,,,,,,,
581,Roemah Lamdoek,4.7,284,Coffee shop,-5.1429032,119.4107276,"Jalan Lamadukelleng, Maloku, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",25815318,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,792048754,-5.1428822,119.4109206,highway,tertiary,26,0.053388335240711,road,Jalan Lamadukelleng,,Jalan Lamadukelleng,,Maloku,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90113,Indonesia,id,-5.1433664|-5.1414467|119.4107642|119.4109734,,,,,,,,,,,,,,,,,,,,,
582,Sija Sawerigading,4.6,213,Cafe,-5.1407883,119.4139715,"PT. Pelni Cabang Makassar, Jalan Sawerigading, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",406657188,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195254527,-5.1408021,119.4141747,office,company,30,5.50019073776916e-05,office,PT. Pelni Cabang Makassar,,Jalan Sawerigading,,Sawerigading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90114,Indonesia,id,-5.1409645|-5.1406770|119.4140029|119.4143488,,,,,,,,PT. Pelni Cabang Makassar,,,,,,,,,,,,,
583,Kopte Ujung Pandang,4.8,6,Coffee shop,-5.1720241,119.4266079,"Jalan Andi Tonro, Pabbaeng-Baeng, Pa'baeng-Baeng, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",422432259,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190771295,-5.1719436,119.4266185,highway,secondary,26,0.053388335240711,road,Jalan Andi Tonro,,Jalan Andi Tonro,Pabbaeng-Baeng,Pa'baeng-Baeng,Tamalate,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90235,Indonesia,id,-5.1728470|-5.1717652|119.4204832|119.4269867,,,,,,,,,,,,,,,,,,,,,
584,Warung Kopi Ujung,5,19,Coffee shop,-5.1427132,119.451049,"BADAN PUSAT STATISTIK KOTA MAKASSAR, Jalan Btn Tonasa, Komp. Btn Tonasa (PERUMAHAN), Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",24722024,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,195414139,-5.1426446,119.4510587,amenity,townhall,30,5.50019073776916e-05,amenity,BADAN PUSAT STATISTIK KOTA MAKASSAR,BADAN PUSAT STATISTIK KOTA MAKASSAR,Jalan Btn Tonasa,Karampuang,Karampuang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90135,Indonesia,id,-5.1427283|-5.1425652|119.4510168|119.4511004,Komp. Btn Tonasa (PERUMAHAN),,,,,,,,,,,,,,,,,,,,
585,Toko Kopi Oma - Sunu,4.7,24,Coffee shop,-5.1223561,119.4298692,"Lembo, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90215, Indonesia",24892048,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,576613000,-5.1223858,119.4298624,highway,residential,26,0.053388335240711,road,"",,,,Lembo,Tallo,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90215,Indonesia,id,-5.1224182|-5.1220686|119.4285961|119.4300433,,,,,,,,,,,,,,,,,,,,,
587,Cafe & Resto Ombak,4.3,1702,Restaurant,-5.1339896,119.4044186,"BNI, Jalan Ujung Pandang, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",24865523,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2515889855,-5.1338977,119.4045076,amenity,atm,30,5.50019073776916e-05,amenity,BNI,BNI,Jalan Ujung Pandang,,Bulogading,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90171,Indonesia,id,-5.1339477|-5.1338477|119.4044576|119.4045576,,,,,,,,,,,,,,,,,,,,,
588,Triwala Kopi,4.7,61,Coffee shop,-5.151348,119.4171081,"Jalan Komp. PDAM, Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",25107667,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190853781,-5.1512449,119.4171017,highway,residential,26,0.053388335240711,road,Jalan Komp. PDAM,,Jalan Komp. PDAM,,Mangkura,Ujung Pandang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90131,Indonesia,id,-5.1513842|-5.1489833|119.4156997|119.4179374,,,,,,,,,,,,,,,,,,,,,
